# AI4E_Vis 错误记录

# 格式：日期 | 模块/链路 | 现象 | 根因 | 修复 | 验证。禁止记录密钥、用户数据和大段堆栈。

2026-08-29 | 后端测试入口 | 从仓库根执行 `pytest backend/tests` 时 16 个模块在收集阶段无法导入 | Python 模块根是 `backend/`，命令未按 CI 工作目录执行 | 文档统一要求先进入 `backend/` 再运行 pytest | 正确入口复验 `82 passed, 1 skipped`
2026-08-29 | 文档索引审计命令 | `rg` 模式中的反引号被 zsh 当作命令替换，产生 `INDEX.md: command not found` | shell 参数转义不安全 | 改用单引号包裹纯正则并重新执行 | 成功定位仅剩的旧 `INDEX.md` 引用
2026-08-29 | 数据资产页 → API → SQLite | 页面实时服务状态正常但资产总数为 0 | 8091 被重构前 `api_app.py` 占用，该进程打开 `backend/state/ai4e_vis.sqlite3`；真正 `var/db` 完整保存 56 个资产 | 在线备份旧库、通过报告 Repository 合并两条报告、停止旧进程并切换 `server.api`；启动器新增入口/运行布局校验 | API 返回 `server.api/var-v1` 与 56 个资产；浏览器显示 56/56；相关组合测试 58 passed
2026-08-29 | 报告编排素材库 → Visualization | 报告内容无法引用以前保存的可视化结果 | 活跃旧库有 0 个 `artifact_visualizations`，而统一 `var/db` 有 38 个 | 与数据资产一起切换统一运行库；用报告 Repository 保留旧进程新增报告 | API 与浏览器均显示 38 个可视化结果，既有报告冻结引用重新可见
2026-08-29 | 应用壳 → 报告中心导航 | 报告页面显示 11 条，但侧边栏徽标仍显示 6 | `App.jsx` 在全局导航硬编码业务数量 | 删除硬编码徽标，真实计数由 reportManage 页面展示 | 新增前端契约测试并在浏览器复核
2026-08-29 | 前端报告导航契约测试 | 精确按“报告中心”查询链接时测试失败 | Ant Design 图标文本参与无障碍名称，且应用同时渲染桌面端“报告中心”和移动端“报告”链接 | 改为按两种导航名称匹配，并逐项断言不存在硬编码数量 | 架构检查通过、12项测试通过、生产构建成功；浏览器确认徽标已消失
2026-08-29 | 数据资产与visDatasets模块边界 | 数据恢复后确认资产生命周期仍混在visDatasets，无法独立拆分 | 早期十二模块定义把资产登记和数据内容查看合并 | 新增dataAssets一级模块接管资产表、上传、页面和文件；visDatasets收窄为解析、画像与体检 | 跨模块组合58项、后端最终全量89项通过；前端架构、13项测试和生产构建通过
2026-08-29 | 最终SQLite与模块注册验收命令 | 首次查询`user_reports`报表不存在，并从仓库根导入`server`失败 | 真实表名是`reports`，Python模块根是`backend/` | 先读取`sqlite_master`确认Schema，再从backend工作目录执行模块注册检查 | integrity=ok；reports表7条，API组合后11条；注册表13个模块
2026-08-29 | 浏览器报告编排验收 | 报告编排页同时包含应用main和文档画布main，严格定位发生多匹配 | 页面存在两个语义正确的main区域 | 将验收定位限定为第一个应用main，再继续读取素材库与报告引用 | 56/56资产、11个上传、38个编排素材及三条冻结引用全部可见
2026-08-29 | Excel功能49二维散点图测试 | 首次把三维点集案例CASE-POINT-SET误当成二维散点图，Renderer断言失败 | 该案例由Trame显示三维点集，二维散点实际由ECharts优化候选案例承载 | 测试改用CASE-OPTIMIZATION并继续校验真实数据与echarts-svg绑定 | 专项测试复验通过
2026-08-29 | Excel功能48二维表格E2E | 直接对Perspective自定义元素做可见性断言时命中其Shadow DOM内部隐藏实例 | Perspective会创建多个内部元素，元素可见性不是用户可读表格的稳定证据 | 改为断言真实可访问数据表及point_id、pressure_kpa列头 | 桌面端专项E2E复验通过
